,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Ţahţā,26.7693,31.5021,82.4,17,0,3.44,EG,1612882013
358,Emba,48.8264,58.1442,-10.59,86,97,5.48,KZ,1612882013
359,Katima Mulilo,-17.5,24.2667,74.07,87,100,8.32,NA,1612882016
360,Ballarat,-37.5662,143.8496,59.0,84,0,4.23,AU,1612882016
361,Rāvar,31.2656,56.8055,57.94,35,0,1.12,IR,1612882016
362,Sosnovo,60.5514,30.2144,12.0,55,61,0.74,RU,1612882016
363,Atar,20.5169,-13.0499,84.9,13,0,10.83,MR,1612882016
364,Inhambane,-23.865,35.3833,81.52,82,42,14.05,MZ,1612882016
365,Lavrentiya,65.5833,-171.0,-10.41,83,29,12.8,RU,1612882016
366,Bahía Blanca,-38.7196,-62.2724,76.08,31,0,4.72,AR,1612882016
367,Lashio,22.9333,97.75,54.16,74,0,2.19,MM,1612882016
368,Hambantota,6.1241,81.1185,78.8,83,40,12.66,LK,1612882017
369,Mitú,1.1983,-70.1733,84.7,69,82,4.92,CO,1612882017
370,Caçapava,-23.1008,-45.7069,77.0,61,75,4.61,BR,1612882017
371,Bandarbeyla,9.4942,50.8122,76.1,68,12,22.86,SO,1612882018
372,Kormilovka,55.0026,74.1028,-13.0,64,75,8.95,RU,1612882018
373,Khovd,48.0056,91.6419,30.16,85,36,15.79,MN,1612882018
374,Aleksandrów Łódzki,51.8196,19.3038,19.99,73,90,5.75,PL,1612882018
375,Tateyama,34.9833,139.8667,41.0,45,20,13.8,JP,1612882018
376,Santa Rosa,14.3122,121.1114,77.0,88,90,4.61,PH,1612882014
377,Forrest City,35.0081,-90.7898,37.4,93,90,9.22,US,1612882018
378,Tegul'det,57.3064,88.1667,-2.6,89,100,10.58,RU,1612882018
379,Tuy Hoa,13.0833,109.3,73.26,93,69,4.25,VN,1612882019
380,Glenwood Springs,39.5505,-107.3248,32.0,58,90,11.5,US,1612881998
381,Yārāda,17.65,83.2667,71.6,78,18,2.3,IN,1612882019
382,Haradok,55.4624,29.9816,14.0,79,90,15.66,BY,1612882019
383,Zhigansk,66.7697,123.3711,-28.3,83,0,3.27,RU,1612882019
384,Ust-Nera,64.5667,143.2,-4.99,83,59,5.5,RU,1612882019
385,Thanh Hoa,19.8,105.7667,60.87,89,90,2.19,VN,1612882019
386,Takoradze,4.8845,-1.7554,85.53,71,22,9.24,GH,1612882019
387,Acapulco de Juárez,16.8634,-99.8901,73.4,73,1,3.4,MX,1612882019
388,Zabid,14.1951,43.3152,78.49,61,33,7.94,YE,1612882019
389,Nantucket,41.2835,-70.0995,32.0,74,20,9.22,US,1612882020
390,Ardea,41.6123,12.5143,59.0,77,40,19.57,IT,1612882020
391,North Vanlaiphai,23.1333,93.0667,49.59,63,0,2.1,IN,1612882020
392,Le Havre,49.4938,0.1077,26.6,74,90,13.8,FR,1612881977
393,Geraldton,-28.7667,114.6,66.2,77,0,8.05,AU,1612882021
394,Zhezkazgan,47.8043,67.7144,-2.15,92,99,10.36,KZ,1612882021
395,Ajdabiya,30.7554,20.2263,71.51,24,0,8.05,LY,1612882021
396,Belawan,3.7755,98.6832,80.6,94,40,3.44,ID,1612882021
397,Camaná,-16.6228,-72.7111,74.73,71,100,7.92,PE,1612882021
398,Tete,-16.1564,33.5867,91.4,52,40,3.44,MZ,1612881808
399,Maturin,9.75,-63.1767,82.2,62,100,9.48,VE,1612882022
400,Biysk,52.5364,85.2072,2.1,89,89,8.97,RU,1612881815
401,Beitbridge,-22.2167,30.0,88.95,38,63,17.83,ZW,1612882023
402,Weligama,5.9667,80.4167,77.13,81,94,4.63,LK,1612882023
403,Clyde River,70.4692,-68.5914,-0.4,92,40,12.66,CA,1612882023
404,Diffa,13.3154,12.6113,92.32,10,21,15.99,NE,1612882023
405,Puno,-15.8333,-70.0333,54.1,60,48,3.83,PE,1612882023
406,Pasni,25.2631,63.471,79.25,37,82,16.13,PK,1612881849
407,Coari,-4.085,-63.1414,83.73,74,99,4.9,BR,1612882023
408,Bālurghāt,25.2167,88.7667,67.23,35,0,6.64,IN,1612882023
409,Florida,28.7505,-82.5001,73.99,94,75,3.44,US,1612882024
410,West Bay,19.3667,-81.4167,82.0,78,20,9.22,KY,1612882024
411,Snåase,64.2457,12.3778,17.6,86,75,17.27,NO,1612882024
412,Kyzyl,51.7,94.45,20.37,95,94,2.98,RU,1612882024
413,Pont-Audemer,49.35,0.5167,26.6,86,90,10.36,FR,1612882024
414,Tynda,55.1667,124.7167,-8.3,89,0,2.46,RU,1612882024
415,Richards Bay,-28.783,32.0377,80.11,78,11,10.83,ZA,1612882024
416,Teguise,29.0605,-13.564,73.4,53,40,6.91,ES,1612882024
417,Philadelphia,39.9523,-75.1638,33.01,80,90,6.91,US,1612882002
418,Manzhouli,49.6,117.4333,6.37,92,0,6.22,CN,1612882024
419,Belfort,47.6333,6.8667,35.01,80,90,3.44,FR,1612882024
420,Abdulino,53.7,53.6667,-14.76,89,51,5.82,RU,1612882024
421,Suzhou,31.3114,120.6181,45.0,81,99,8.99,CN,1612882024
422,Alexandria,31.2156,29.9553,71.6,60,0,6.91,EG,1612882014
423,Zacatepec,18.65,-99.2,60.8,55,1,4.61,MX,1612882025
424,Ranong,9.9658,98.6348,76.95,84,19,3.38,TH,1612881866
425,Ulverstone,-41.15,146.1667,57.0,73,90,10.8,AU,1612882025
426,Santa Marinella,42.0345,11.8536,51.01,80,48,3.0,IT,1612882025
427,Broome,42.2506,-75.833,24.01,93,90,0.96,US,1612882025
428,Mirpur Khas,25.5251,69.0159,73.54,17,99,8.03,PK,1612881843
429,Raglan,-37.8,174.8833,66.99,92,99,9.04,NZ,1612882026
430,Severnoye,56.3491,78.3619,-7.4,88,100,10.8,RU,1612882026
431,Pecos,31.4229,-103.4932,41.0,30,1,3.42,US,1612882026
432,Oranjemund,-28.55,16.4333,70.14,72,3,21.56,NA,1612882026
433,Avera,33.194,-82.5271,50.0,81,90,3.44,US,1612882026
434,Sicamous,50.8331,-118.9856,-0.4,71,8,2.3,CA,1612882026
435,Nouadhibou,20.931,-17.0347,67.12,64,0,14.65,MR,1612882026
436,Massakory,12.996,15.7293,94.84,8,2,14.81,TD,1612882026
437,Ostër,50.9506,30.8823,26.01,100,91,5.32,UA,1612882026
438,Skjervøy,70.0311,20.9714,23.0,74,90,11.5,NO,1612881902
439,Grants Pass,42.439,-123.3284,35.6,100,90,0.92,US,1612881994
440,Sørland,67.667,12.6934,32.0,51,0,21.85,NO,1612882026
441,Husavik,66.0449,-17.3389,26.6,86,90,3.44,IS,1612882026
442,Fortuna,40.5982,-124.1573,39.2,100,90,3.0,US,1612882026
443,Bykovo,55.6361,38.0803,8.6,78,75,11.18,RU,1612882027
444,Nipawin,53.3668,-104.0009,-20.2,63,1,12.66,CA,1612882027
445,Cap Malheureux,-19.9842,57.6142,81.0,70,36,5.01,MU,1612882027
446,Ossora,59.2353,163.0719,32.05,98,100,42.26,RU,1612882027
447,Sechura,-5.5569,-80.8222,78.1,63,0,5.41,PE,1612882027
448,Hammerfest,70.6634,23.6821,21.2,86,75,14.97,NO,1612882027
449,Watertown,42.3709,-71.1828,28.99,74,90,6.91,US,1612881979
450,Vrangel',42.7297,133.0839,19.51,91,85,7.0,RU,1612882027
451,Erzin,36.9559,36.2,66.0,71,0,0.54,TR,1612882027
452,Biak,-0.9131,122.8766,78.51,82,76,1.99,ID,1612882027
453,Bumba,2.1833,22.4667,95.49,18,91,1.83,CD,1612881911
454,San Rafael,-34.6177,-68.3301,66.25,59,65,7.36,AR,1612882027
455,Qandala,11.472,49.8728,74.97,63,94,7.63,SO,1612882028
456,Kamaishi,39.2667,141.8833,28.06,86,2,11.92,JP,1612882028
457,Bontang,0.1333,117.5,80.62,83,48,4.65,ID,1612882028
458,Ishinomaki,38.4167,141.3,30.7,91,9,19.39,JP,1612882028
459,Karratha,-20.7377,116.8463,83.01,70,51,19.64,AU,1612882028
460,Chernolesskoye,44.7156,43.7133,36.0,97,99,4.0,RU,1612882028
461,Salinópolis,-0.6136,-47.3561,82.56,81,100,10.67,BR,1612882028
462,Itarema,-2.9248,-39.9167,85.75,62,99,9.95,BR,1612882028
463,Inuvik,68.3499,-133.7218,-40.0,74,37,3.44,CA,1612882028
464,Dana Point,33.467,-117.6981,54.0,79,100,1.99,US,1612881753
